URL,Type,Hostname,IP Address,Last Modified,Path,processed_url
http://pageconfirm17.at.ua/Page_Editor/confirmed.html...,malicious,pageconfirm17.at.ua,213.174.157.151,"Mon, 17 Jun 2024 14:05:16 GMT",/Page_Editor/confirmed.html...,"['http', 'pageconfirm17', 'at', 'ua', 'Page', 'Editor', 'confirmed', 'html']"
http://slightlyoffcenter.net,malicious,slightlyoffcenter.net,208.76.80.20,"Thu, 28 Jun 2012 23:17:26 GMT",,"['http', 'slightlyoffcenter', 'net']"
http://prodentmed.com.br/site/connect/connect/connect/connect/index.php,malicious,prodentmed.com.br,91.108.103.52,"Tue, 03 Oct 2023 18:36:00 GMT",/site/connect/connect/connect/connect/index.php,"['http', 'prodentmed', 'com', 'br', 'site', 'connect', 'connect', 'connect', 'connect', 'index', 'php']"
http://scurit098.atspace.cc/helper-akses/helpres-akseseres-sukseses/update-payment.html,malicious,scurit098.atspace.cc,185.176.43.61,"Mon, 09 Oct 2017 07:44:37 GMT",/helper-akses/helpres-akseseres-sukseses/update-payment.html,"['http', 'scurit098', 'atspace', 'cc', 'helper', 'akses', 'helpres', 'akseseres', 'sukseses', 'update', 'payment', 'html']"
http://pixelunit.pl/xip.htm,malicious,pixelunit.pl,195.78.66.221,"Thu, 07 Mar 2024 13:38:47 GMT",/xip.htm,"['http', 'pixelunit', 'pl', 'xip', 'htm']"
http://videoporteiros.pt/dropbox2016/Home/,malicious,videoporteiros.pt,80.172.227.15,"Wed, 15 May 2024 22:05:36 GMT",/dropbox2016/Home/,"['http', 'videoporteiros', 'pt', 'dropbox2016', 'Home']"
http://regiscerqueira.com.br/pplsplitoralsul.com.br/,malicious,regiscerqueira.com.br,154.49.247.193,"Mon, 10 Jul 2023 20:16:27 GMT",/pplsplitoralsul.com.br/,"['http', 'regiscerqueira', 'com', 'br', 'pplsplitoralsul', 'com', 'br']"
http://saveursdusenegal.com/data/,malicious,saveursdusenegal.com,54.38.220.184,"Thu, 08 Apr 2021 14:35:26 GMT",/data/,"['http', 'saveursdusenegal', 'com', 'data']"
http://mississaugawolverines.com/wp-admin/css/,malicious,mississaugawolverines.com,151.80.244.106,"Mon, 21 Aug 2023 05:09:52 GMT",/wp-admin/css/,"['http', 'mississaugawolverines', 'com', 'wp', 'admin', 'css']"
http://youcojapan.com/goldcorp/HomeAct/,malicious,youcojapan.com,153.126.145.90,"Fri, 16 Dec 2022 05:32:26 GMT",/goldcorp/HomeAct/,"['http', 'youcojapan', 'com', 'goldcorp', 'HomeAct']"
